"1. Company name (For example, UPMC, Penn State Health, CVS, Sadler Health Center, etc.)","2. Name of vaccine providing entity (For example, UPMC Williamsport, Penn State Health Holy Spirit Medical Center, CVS Pharmacy Camp Hill, Sadler Health Center, etc.)",4. Provider Address,5. Point of contact for vaccine providing entity,6. Phone number for point of contact,POCemail,8. Type of Facility,"9. Link to public facing information, if applicable, on how to schedule an appointment to get vaccinated",Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,What identification requirements does your facility have for vaccine recipients?,Notes,VaccineYesNoExp,x,y
Rite Aid 01800,Rite Aid,"4551 Milford Rd, East Stroudsburg, Pennsylvania, 18302",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.11171996,41.05012999
Rite Aid 01922,Rite Aid,"315 W 4th St, Quarryville, Pennsylvania, 17566",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,4:00 PM,ID and Employment Verification,,Yes,-76.17003901,39.893532
Rite Aid 02768,Rite Aid,"54 N Main St, Carbondale, Pennsylvania, 18407",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.50115299,41.57371299
Rite Aid 03602,Rite Aid,"5675 York Rd, New Oxford, Pennsylvania, 17350",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-77.04202801,39.86670999
Rite Aid 03400,Rite Aid,"420 N 3rd St, Womelsdorf, Pennsylvania, 19567",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-76.18960203,40.37137902
Rite Aid 03804,Rite Aid,"10 Newport Pl, Newport, Pennsylvania, 17074",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,6:00 PM,ID and Employment Verification,,Yes,-77.11167728,40.49302059
Rite Aid 04284,Rite Aid,"3601 Walnut St, Harrisburg, Pennsylvania, 17109",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-76.83700978,40.28824648
Rite Aid 04286,Rite Aid,"5201 Spring Rd, Shermans Dale, Pennsylvania, 17090",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-77.16515397,40.32102302
Rite Aid 04288,Rite Aid,"3773 Peters Mountain Rd, Halifax, Pennsylvania, 17032",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-76.92631436,40.45490069
Rite Aid 04415,Rite Aid,"14 5th St, Williamsport, Pennsylvania, 17701",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-77.00412898,41.24400601
Rite Aid 07861,Rite Aid,"3145 Main St, Morgantown, Pennsylvania, 19543",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.89085701,40.155637
Rite Aid 04684,Rite Aid,"825A E Chestnut St, Lancaster, Pennsylvania, 17602",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-76.28919053,40.04296709
Rite Aid 04840,Rite Aid,"1000 N Church St, Hazleton, Pennsylvania, 18201",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.97801607,40.97296507
Rite Aid 02271,Rite Aid,"4135 N George St, Manchester, Pennsylvania, 17345",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-76.7247643,40.04137232
Rite Aid 11023,Rite Aid,"300 S Fayette St, Shippensburg, Pennsylvania, 17257",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-77.522143,40.04383801
Rite Aid 11062,Rite Aid,"3382 Route 940, Mount Pocono, Pennsylvania, 18344",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.36104998,41.12570001
Rite Aid 11040,Rite Aid,"2269 Schoenersville Rd, Bethlehem, Pennsylvania, 18017",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-75.40113286,40.64122514
Rite Aid 11073,Rite Aid,"400 W 2nd St, Berwick, Pennsylvania, 18603",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:30 AM,8:00 PM,9:30 AM,8:00 PM,9:30 AM,8:00 PM,9:30 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-76.23958098,41.05217999
Rite Aid 11058,Rite Aid,"241 N 1st St, Lehighton, Pennsylvania, 18235",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.70840996,40.83635999
Rite Aid 11082,Rite Aid,"801 Grow Ave, Montrose, Pennsylvania, 18801",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.8613858,41.83958506
Rite Aid 01496,Rite Aid,"508 E 2nd St, Oil City, Pennsylvania, 16301",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.70488296,41.42718898
Rite Aid 00596,Rite Aid,"827 N Center St, Corry, Pennsylvania, 16407",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.64142722,41.92980918
Rite Aid 02769,Rite Aid,"100 Franklin St, Mercer, Pennsylvania, 16137",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.23930204,41.23032498
Rite Aid 11148,Rite Aid,"120 S Mill Rd, Kennett Square, Pennsylvania, 19348",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-75.72092104,39.84492266
Rite Aid 10999,Rite Aid,"100 S 3rd St, Conneaut Lake, Pennsylvania, 16316",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.30414,41.60298
Rite Aid 01668,Rite Aid,"707 Sharon New Castle Rd, Farrell, Pennsylvania, 16121",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.479762,41.212798
Rite Aid 10990,Rite Aid,"31 N Jefferson St, New Castle, Pennsylvania, 16101",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.34761601,41.00084398
Rite Aid 02382,Rite Aid,"163 W 26th St, Erie, Pennsylvania, 16508",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.07653898,42.11035998
Rite Aid 00233,Rite Aid,"9365 William Penn Hwy, Huntingdon, Pennsylvania, 16652",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-78.02279734,40.48347025
Rite Aid 00926,Rite Aid,"1440 E High St, Waynesburg, Pennsylvania, 15370",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.16853003,39.89577001
Rite Aid 01370,Rite Aid,"725 Lysle Blvd, Mckeesport, Pennsylvania, 15132",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.85739596,40.35254099
Rite Aid 01514,Rite Aid,"404 3rd St, California, Pennsylvania, 15419",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-79.88966604,40.06674902
Rite Aid 01495,Rite Aid,"101 E Shirley St, Mount Union, Pennsylvania, 17066",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-77.87934996,40.38302999
Rite Aid 01548,Rite Aid,"610 Broad St, New Bethlehem, Pennsylvania, 16242",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.32624004,41.00192998
Rite Aid 01963,Rite Aid,"262 Connellsville St, Uniontown, Pennsylvania, 15401",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.70692001,39.9005
Rite Aid 01976,Rite Aid,"207 Route 6 W, Coudersport, Pennsylvania, 16915",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-78.02960999,41.76682001
Rite Aid 02476,Rite Aid,"101 Main St, Ridgway, Pennsylvania, 15853",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-78.73337,41.42106998
Rite Aid 00740,Rite Aid,"8878 Clearfield Curwensville Hwy, Clearfield, Pennsylvania, 16830",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-78.47464002,40.98807
Rite Aid 07850,Rite Aid,"620 E Allegheny Ave, Emporium, Pennsylvania, 15834",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-78.22308488,41.50877887
Rite Aid 02480,Rite Aid,"847 Midland Ave, Midland, Pennsylvania, 15059",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.45158002,40.63633001
Rite Aid 10900,Rite Aid,"700 Stevenson Blvd, New Kensington, Pennsylvania, 15068",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.75454196,40.56418798
Rite Aid 10890,Rite Aid,"1505 7th Ave, Beaver Falls, Pennsylvania, 15010",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.32013996,40.75627002
Rite Aid 10964,Rite Aid,"200 Memorial Blvd, Connellsville, Pennsylvania, 15425",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.59514428,40.02341382
Rite Aid 10975,Rite Aid,"201 W Mahoning St, Punxsutawney, Pennsylvania, 15767",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 PM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,10:00 AM,7:00 PM,ID and Employment Verification,,Yes,-78.97241643,40.94314656
Rite Aid 10934,Rite Aid,"2336 Ardmore Blvd, Pittsburgh, Pennsylvania, 15221",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,8:00 PM,9:00 PM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,ID and Employment Verification,,Yes,-79.84898799,40.41521302
Rite Aid 10914,Rite Aid,"1700 Pine Hollow Rd, Mc Kees Rocks, Pennsylvania, 15136",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-80.096777,40.47569101
Rite Aid 11015,Rite Aid,"821 E Bishop St, Bellefonte, Pennsylvania, 16823",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-77.76324602,40.914121
Rite Aid 10979,Rite Aid,"1501 Scalp Ave, Johnstown, Pennsylvania, 15904",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-78.85609699,40.26944301
Rite Aid 10988,Rite Aid,"129 Grand Ave, Mars, Pennsylvania, 16046",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,10:00 AM,4:00 PM,ID and Employment Verification,,Yes,-80.01013201,40.69660902
Rite Aid 02442,Rite Aid,"950 E Baltimore Ave, Lansdowne, Pennsylvania, 19050",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.254618,39.936805
Rite Aid 11160,Rite Aid,"200 W Ridge Pike, Conshohocken, Pennsylvania, 19428",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.28819575,40.09456313
Rite Aid 02264,Rite Aid,"2722 W 9th St, Chester, Pennsylvania, 19013",,Use the listed link to schedule your appointment. The pharmacy team is not able to schedule appointments on the phone,,Pharmacy,https://sr.reportsonline.com/sr/riteaid/PS2021,,,,,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,8:00 AM,10:00 AM,5:00 PM,ID and Employment Verification,,Yes,-75.39414461,39.83664456
Wegmans Food Markets Inc.,Wegmans 600 Commerce Drive ,"600 Commerce Dr, Collegeville, Pennsylvania, 19426",,,,Pharmacy,https://www.wegmans.com/pharmacy/,8:30 AM,3:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Checking government ID,,No Vaccine Yet,-75.48260326,40.16364091
Wegmans Food Markets Inc.,Wegmans 5000 Wegmans Dr.,"5000 Wegmans Dr, Bethlehem, Pennsylvania, 18017",,,,Pharmacy,https://www.wegmans.com/pharmacy/,8:30 AM,3:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,05:00pm,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Checking government ID,,No Vaccine Yet,-75.38809604,40.66543198
Wegmans Food Markets Inc.,Wegmans 100 Applied Bank Blvd.,"100 Applied Bank Blvd, Glen Mills, Pennsylvania, 19342",,,,Pharmacy,https://www.wegmans.com/pharmacy/,8:30 AM,3:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,05:00pm,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Checking government ID,,No Vaccine Yet,-75.541508,39.87535002
Wegmans Food Markets Inc.,Wegmans 1056 E. Lancaster Ave,"1056 E Lancaster Ave, Downingtown, Pennsylvania, 19335",,,,Pharmacy,https://www.wegmans.com/pharmacy/,8:30 AM,3:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,05:00pm,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Checking government ID,,No Vaccine Yet,-75.67768627,40.01735614
Weis Markets Inc,Weis Pharmacy #14,"1440 Allegheny St, Jersey Shore, Pennsylvania, 17740",,,,Pharmacy,https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4,9:00 AM,5:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,08:00pm,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,6:00 PM,Checking government ID,,No Vaccine Yet,-77.27655802,41.20166399
Wegmans Food Markets Inc.,Wegmans 500 Montgomery Mall,"500 Montgomery Mall, North Wales, Pennsylvania, 19454",,,,Pharmacy,https://www.wegmans.com/pharmacy/,8:30 AM,3:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,05:00pm,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Checking government ID,,No Vaccine Yet,-75.24572469,40.2382478
Wegmans Food Markets Inc.,Wegmans 220 Highland Park Blvd.,"220 Highland Park Blvd, Wilkes Barre, Pennsylvania, 18702",,,,Pharmacy,https://www.wegmans.com/pharmacy/,8:30 AM,3:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,05:00pm,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Checking government ID,,No Vaccine Yet,-75.85950543,41.23506497
Weis Markets Inc,Weis Pharmacy #56,"1056 Wayne Ave, Chambersburg, Pennsylvania, 17201",,,,Pharmacy,https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4,10:00 AM,2:00 PM,9:00 AM,8:30 PM,9:00 AM,8:30 PM,9:00 AM,08:30pm,9:00 AM,8:30 PM,9:00 AM,8:30 PM,9:00 AM,5:30 PM,Checking government ID,,No Vaccine Yet,-77.65286901,39.91096502
Weis Markets Inc,Weis Pharmacy #154,"600 Hunter Hwy, Tunkhannock, Pennsylvania, 18657",,,,Pharmacy,https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4,10:00 AM,4:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,09:00pm,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Checking government ID,,No Vaccine Yet,-75.94733,41.52905999
Weis Markets Inc,Weis Pharmacy #4,"339 W Walnut St, Shamokin, Pennsylvania, 17872",,,,Pharmacy,https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4,10:00 AM,2:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,09:00pm,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Checking government ID,,No Vaccine Yet,-76.56170699,40.79023399
